t,winner_monthly_ret,loser_monthly_ret,ls_monthly_ret,winner_monthly_t,loser_monthly_t,ls_monthly_t,winner_cum_ret,loser_cum_ret,ls_cum_ret,winner_cum_t,loser_cum_t,ls_cum_t,n_portfolios,ls_cum_from_mean_monthly
18,0.01727659671364695,0.018055500411438084,-0.0007789036977911374,2.897803789975418,3.1441517040486047,-0.16589494966811782,0.3930867407502703,0.36401195874735853,0.01819004161700706,14.875815922557099,12.082885436650727,0.7970038744934543,108,0.02682268518332931
19,0.01686650462618098,0.018634056444925315,-0.0017675518187443345,2.801471368435517,3.3258884543987297,-0.4095550628959366,0.4113383074793691,0.39089173946991845,0.01439927148812691,15.151393715866316,12.17194152468954,0.6072637058685487,107,0.025007722878605643
20,0.015012772953654973,0.0175091690654795,-0.0024963961118245285,2.484901579551182,3.0512932431501665,-0.5868189187784669,0.4273979610212354,0.4151114198643804,0.009132289354509686,15.123251554406409,12.686236091913525,0.3737613183829462,106,0.02244889758462132
21,0.014259423072716987,0.019464385565678994,-0.005204962492962007,2.347888937307251,3.4612289876994407,-1.2218194911068936,0.4424214656925509,0.4438203836008248,0.0014024681274390483,15.295606143023099,12.832782473645889,0.05592359685752668,105,0.01712708942172303
22,0.01428154886998632,0.019407861512398986,-0.005126312642412665,2.316332672390601,3.426273103811332,-1.2871376114968274,0.4586606553151137,0.4707672270058316,-0.006726243133751082,15.460781440424615,13.357286947693899,-0.26466816570752744,104,0.011912977964279925
23,0.01363311676678079,0.019888267562904943,-0.006255150796124148,2.203723580133773,3.577320002039557,-1.5710718408763686,0.4716207794306388,0.4970773857752295,-0.014891132892719287,15.473737133797009,13.840774130053223,-0.5639588922383478,103,0.005583309694558336
24,0.01269947693817454,0.01811992162565422,-0.005420444687479682,2.006535104748063,3.124693451003395,-1.3037149273193172,0.48377628937320344,0.5206481762906813,-0.021139473560240395,15.566702728277987,14.196318122883886,-0.7718661922824958,102,0.00013260098570611056
25,0.012835607746386306,0.01735303305621685,-0.004517425309830543,1.9952111331317368,2.9480361262283674,-1.135199273243216,0.4946578667865586,0.5441622125369225,-0.03157781615650145,15.933321612027166,15.127910038188782,-1.1714089856027308,101,-0.0043854233391733555
26,0.014785148369469057,0.016363925902095205,-0.0015787775326261478,2.284637611942755,2.744309755332882,-0.38962007041378544,0.5074448826097115,0.5666468914813101,-0.03638374590755137,16.400049244317394,15.440896327731457,-1.3284014262678003,100,-0.005957277263960559
27,0.014749042761134394,0.015768712882687056,-0.001019670121552664,2.323415206202461,2.593163801034987,-0.26639503316941227,0.5150018858606595,0.5890335030421456,-0.046740156938045785,17.64932963845967,16.470768947776662,-1.790075289844803,99,-0.006970872927881344
28,0.01694164610764994,0.015644386600385144,0.0012972595072647953,2.6438517979659326,2.5234082099872515,0.34355362561648267,0.5309266156203392,0.6146782951804549,-0.05155031145023831,18.146616849117198,16.508014748314938,-2.0072333483130844,98,-0.005682656451796109
29,0.01703954598388123,0.013928565033905332,0.0031109809499758976,2.719948263107585,2.3041110865582977,0.8063205537681188,0.5452425092596588,0.6363143215689757,-0.05378797800166113,19.137869527595754,16.524272992352014,-2.095707443845962,97,-0.0025893541377870477
30,0.01881532097257815,0.013195116298746057,0.005620204673832094,2.954428899847719,2.0751524694915346,1.3910740103724832,0.5639138001119893,0.6568268713011165,-0.05466815054562852,20.14776342821578,17.03887632326596,-2.1542780716806282,96,0.003016297835817694
31,0.01703904126459055,0.014493119661029574,0.002545921603560978,2.701959526173285,2.13669648568973,0.5924593708537723,0.5798614034153753,0.6823663619429533,-0.058489013172069206,21.275152750036376,16.661083096902463,-2.318375378221824,95,0.005569898697201703
32,0.0173144348432909,0.014671145425744134,0.0026432894175467667,2.740096081400185,2.112192627730591,0.631761195877096,0.5959912973429821,0.7052738237072308,-0.06309545806848205,22.224828823641506,16.928174312149814,-2.5125365361806824,94,0.008227910969031527
33,0.018593166982623505,0.017350788470022464,0.001242378512601043,2.9283264540389964,2.4874106272034537,0.2543271358511386,0.6195611991195026,0.7238556157875999,-0.06143284153881203,23.00305746553305,17.696099218325813,-2.383145751241013,93,0.009480511661424051
34,0.018450457361838094,0.015622655296602258,0.002827802065235833,2.888925089373884,2.139414264887825,0.5908773932270539,0.6399006666509106,0.7446495093450013,-0.061103191726557975,23.898278999911188,17.510413999245195,-2.3109305127673467,92,0.012335122737115567
35,0.017840140593616764,0.015277808105064088,0.0025623324885526715,2.633044979679723,2.1973225622232975,0.5500320858753369,0.6588794782158853,0.7643852767070697,-0.06122010338527538,24.58257467805243,17.74858449965705,-2.265342494442243,91,0.014929061911407748
36,0.01718138520651948,0.01578181470625262,0.0013995705002668591,2.4422509623358453,2.3429175209786166,0.3144235480045528,0.6816136454935311,0.7852391992656043,-0.05652114004838923,24.195230200142856,17.589787085170688,-1.976064021225632,90,0.016349526686322502
